raw time,,adjusted time,, trigger
1738540688.317,,6.855000019,,1
1738540688.324,,6.861999989,,0.996078
1738540688.330,,6.868000031,,0.996078
1738540688.337,,6.875,,0.992157
1738540688.345,,6.883000135,,0.992157
1738540688.352,,6.890000105,,0.992157
1738540688.359,,6.897000074,,0.992157
1738540688.366,,6.904000044,,0.992157
1738540688.372,,6.910000086,,0.992157
1738540688.379,,6.917000055,,0.992157
1738540688.386,,6.924000025,,0.992157
1738540688.395,,6.933000088,,0.992157
1738540688.400,,6.938000202,,0.988235
1738540688.407,,6.945000172,,0.988235
1738540688.414,,6.952000141,,0.992157
1738540688.421,,6.959000111,,0.988235
1738540688.427,,6.965000153,,0.980392
1738540688.435,,6.97300005,,0.980392
1738540688.442,,6.980000019,,0.960784
1738540688.449,,6.986999989,,0.941176
1738540688.456,,6.994000196,,0.941176
1738540688.463,,7.001000166,,0.929412
1738540688.469,,7.007000208,,0.917647
1738540688.477,,7.015000105,,0.917647
1738540688.484,,7.022000074,,0.905882
1738540688.490,,7.028000116,,0.886275
1738540688.498,,7.036000013,,0.870588
1738540688.505,,7.043000221,,0.870588
1738540688.512,,7.050000191,,0.854902
1738540688.519,,7.05700016,,0.839216
1738540688.525,,7.063000202,,0.839216
1738540688.532,,7.070000172,,0.819608
1738540688.539,,7.077000141,,0.8
1738540688.546,,7.084000111,,0.8
1738540688.553,,7.09100008,,0.784314
1738540688.560,,7.09800005,,0.772549
1738540688.567,,7.105000019,,0.772549
1738540688.574,,7.111999989,,0.760784
1738540688.581,,7.119000196,,0.745098
1738540688.588,,7.126000166,,0.717647
1738540688.595,,7.133000135,,0.717647
1738540688.602,,7.140000105,,0.686275
1738540688.608,,7.146000147,,0.643137
1738540688.615,,7.153000116,,0.643137
1738540688.622,,7.160000086,,0.588235
1738540688.630,,7.168000221,,0.545098
1738540688.636,,7.174000025,,0.545098
1738540688.643,,7.180999994,,0.513726
1738540688.650,,7.188000202,,0.494118
1738540688.658,,7.196000099,,0.486275
1738540688.665,,7.203000069,,0.486275
1738540688.671,,7.209000111,,0.486275
1738540688.678,,7.21600008,,0.482353
1738540688.685,,7.22300005,,0.482353
1738540688.692,,7.230000019,,0.478431
1738540688.699,,7.236999989,,0.470588
1738540688.706,,7.244000196,,0.470588
1738540688.713,,7.251000166,,0.45098
1738540688.720,,7.258000135,,0.427451
1738540688.727,,7.265000105,,0.427451
1738540688.734,,7.272000074,,0.396078
1738540688.741,,7.279000044,,0.372549
1738540688.748,,7.286000013,,0.364706
1738540688.755,,7.293000221,,0.364706
1738540688.762,,7.300000191,,0.356863
1738540688.769,,7.30700016,,0.34902
1738540688.775,,7.313000202,,0.34902
1738540688.782,,7.320000172,,0.345098
1738540688.790,,7.328000069,,0.337255
1738540688.796,,7.334000111,,0.337255
1738540688.804,,7.342000008,,0.317647
1738540688.811,,7.349000216,,0.301961
1738540688.818,,7.356000185,,0.282353
1738540688.825,,7.363000154,,0.282353
1738540688.831,,7.369000196,,0.270588
1738540688.838,,7.376000166,,0.254902
1738540688.845,,7.383000135,,0.254902
1738540688.852,,7.390000105,,0.243137
1738540688.859,,7.397000074,,0.231373
1738540688.866,,7.404000044,,0.231373
1738540688.873,,7.411000013,,0.207843
1738540688.879,,7.417000055,,0.184314
1738540688.887,,7.425000191,,0.184314
1738540688.894,,7.43200016,,0.156863
1738540688.901,,7.43900013,,0.12549
1738540688.908,,7.446000099,,0.109804
1738540688.914,,7.452000141,,0.109804
1738540688.921,,7.459000111,,0.07451
1738540688.928,,7.46600008,,0.05098
1738540688.935,,7.47300005,,0.05098
1738540688.942,,7.480000019,,0
1738540688.950,,7.488000154,,0
1738540688.957,,7.495000124,,0
1738540688.964,,7.502000093,,1
1738540688.970,,7.508000135,,0
1738540688.977,,7.515000105,,0
1738540688.984,,7.522000074,,0
1738540688.991,,7.529000044,,0
1738540688.998,,7.536000013,,0
1738540689.004,,7.542000055,,0
1738540689.011,,7.549000025,,0
1738540689.018,,7.555999994,,0
1738540689.025,,7.563000202,,0
1738540689.032,,7.570000172,,0
1738540689.040,,7.578000069,,0
1738540689.047,,7.585000038,,0
1738540689.054,,7.592000008,,0
1738540689.061,,7.599000216,,0
1738540689.068,,7.606000185,,0
1738540689.074,,7.611999989,,0
1738540689.081,,7.619000196,,0
1738540689.088,,7.626000166,,0
1738540689.095,,7.633000135,,0
1738540689.102,,7.640000105,,0
1738540689.109,,7.647000074,,0
1738540689.116,,7.654000044,,0
1738540689.124,,7.662000179,,0
1738540689.130,,7.668000221,,0
1738540689.137,,7.675000191,,0
1738540689.144,,7.68200016,,0
1738540689.151,,7.68900013,,0
1738540689.158,,7.696000099,,0
1738540689.165,,7.703000069,,0
1738540689.171,,7.709000111,,0
1738540689.179,,7.717000008,,0
1738540689.186,,7.724000216,,0
1738540689.193,,7.731000185,,0
1738540689.200,,7.738000154,,0
1738540689.206,,7.744000196,,0
1738540689.214,,7.752000093,,0
1738540689.221,,7.759000063,,0
1738540689.227,,7.765000105,,0
1738540689.234,,7.772000074,,0
1738540689.241,,7.779000044,,0
1738540689.248,,7.786000013,,0
1738540689.255,,7.793000221,,0
1738540689.262,,7.800000191,,0
1738540689.269,,7.80700016,,0
1738540689.276,,7.81400013,,0
1738540689.283,,7.821000099,,0
1738540689.290,,7.828000069,,0
1738540689.297,,7.835000038,,0
1738540689.304,,7.842000008,,0
1738540689.311,,7.849000216,,0
1738540689.318,,7.856000185,,0
1738540689.325,,7.863000154,,0
1738540689.332,,7.870000124,,0
1738540689.338,,7.876000166,,0
1738540689.346,,7.884000063,,0
1738540689.353,,7.891000032,,0
1738540689.360,,7.898000002,,0
1738540689.367,,7.90500021,,0
1738540689.374,,7.912000179,,0
1738540689.381,,7.919000149,,0
1738540689.387,,7.925000191,,0
1738540689.394,,7.93200016,,0
1738540689.401,,7.93900013,,0
1738540689.409,,7.947000027,,0
1738540689.416,,7.953999996,,0
1738540689.422,,7.960000038,,0
1738540689.429,,7.967000008,,0
1738540689.436,,7.974000216,,0
